grid_id,response,dwelling_presence,surveyed_ratio,cell_area_m2,surveyed_area_m2,elev,slope_deg,relief_50m,eastness,tpi_100m,tpi_500m,rel_min_500m,valley_bottom_flag_v2,valley_edge_flag_v2,dist_valley_bottom_v2,pred_gam_terrain_only,pred_gam_terrain_penalized,final_score_nodata_only,final_score_class,final_score_class_id
11,1,1,0.15884056514226574,95077.77643539116,15102.20774146753,66.00645446777344,0.7754843058288132,1.4176254272460938,0,0.011350803857240521,-1.0748520868856701,3.9711341857910156,0,0,175.93418884277344,0.9999999999999998,0.9999999999999998,NA,NA,NA
12,1,1,0.13016328979789082,82813.44409421145,10779.270322796276,66.75856018066406,1.1755525996853216,1.6691360473632812,0.060736548843219815,-0.22147735705874538,-0.8642487402754,4.234840393066406,0,0,126.49913787841797,0.9999999999999998,0.9999999999999998,NA,NA,NA
13,NA,0,0.06762438570719134,93325.7289580715,6311.095091465423,67.91870880126953,2.124389243524246,3.2110595703125,0.17408469108863941,0.2199277912236255,0.9506607350366636,8.018707275390625,0,0,111.27055358886719,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
14,1,1,0.024715671454648806,114583.90501610021,2832.018150368618,68.6122817993164,1.4000981061379745,1.9482574462890625,0.3514613100005642,0.075270091583576,0.3827204460479692,8.313652038574219,0,0,164.61572265625,0.9999999999999998,0.9999999999999998,NA,NA,NA
15,1,1,0.018460132839640712,419440.1660680762,7742.921183897648,70.03062438964844,0.3184923885902352,0.59780120849609375,0,-0.004430392158596419,4.083765935021262,13.818408966064453,0,0,162.11326599121094,0.9999999999999998,0.9999999999999998,NA,NA,NA
16,1,1,0.10871504241486799,247973.11962199042,26958.408217451823,70.92369079589844,0.8890692857608784,1.395843505859375,0,-0.07003671253630728,-1.4511073982926206,1.6080780029296875,0,0,55.107913970947266,0.9999999999999998,0.9999999999999998,NA,NA,NA
17,1,1,0.1837784557311774,214100.20172735106,39347.00444518614,71.69902801513672,0.7321163309545693,1.3753890991210938,0,-0.190374243560683,-0.8600632083049646,2.1990280151367188,0,0,116.40088653564453,0.9999999999999998,0.9999999999999998,NA,NA,NA
18,1,1,0.1877818800822701,261872.69627536548,49174.94724880142,72.9352798461914,0.26897159194030823,0.54062652587890625,0,0.18942273511048313,5.1748737640839835,16.739822387695312,0,0,291.80389404296875,0.9999999999999998,0.9999999999999998,NA,NA,NA
19,1,1,0.18326673258212894,285116.52614100877,52252.37415102983,73.95027160644531,0.5260824487621649,0.7491912841796875,0,-0.19757440890646194,0.3944257136284506,4.050270080566406,0,0,154.74058532714844,0.9999999999999998,0.9999999999999998,NA,NA,NA
20,1,1,0.06590466660642795,631087.5013272427,41591.611374455584,75.27509307861328,0.9784061347709172,2.362152099609375,0,1.3282198303442954,4.7717574460580465,16.102386474609375,0,0,261.17626953125,0.9999999999999998,0.9999999999999998,NA,NA,NA
21,1,1,0.06079670237388246,473286.4252041647,28774.253930736384,76.23478698730469,0.6701480687792617,1.0902786254882812,0,-0.22536712222628807,-4.723150059169981,0.56292724609375,1,0,0,0.9999999999999998,0.19999999999999996,NA,NA,NA
22,1,1,0.058754084197077484,395845.9267069779,23257.564906811942,76.79264831542969,0.5149838832303202,0.8907318115234375,0,-0.1049454071942506,-2.903998003748356,1.12078857421875,0,0,61.136741638183594,0.9999999999999998,0.9999999999999998,NA,NA,NA
23,1,1,0.04427328545276497,454013.9029537892,20100.687124997043,77.8741455078125,0.5758194243341003,0.91608428955078125,0,0.05053102238514384,-1.8169297210029924,2.2022857666015625,0,0,177.2570343017578,0.9999999999999998,0.9999999999999998,NA,NA,NA
24,NA,0,0.019621888923842635,535776.1185615597,10512.939486462466,78.80000305175781,0.21929119420828683,0.42040252685546875,0,-0.040903525231982485,-1.2902906678665573,2.1209564208984375,0,0,206.47796630859375,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
25,NA,0,0.013321584752091125,692993.1788589673,9231.767364790776,80.20722198486328,0.5678525430943032,1.07781982421875,0,0.1146086544766689,0.5773335225741221,5.883171081542969,0,0,605.3193359375,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
26,NA,0,0.005764316318624099,739597.6417553413,4263.274755586214,80.669097900390625,0.3656215258497228,0.58145904541015625,0,-0.08327855960557429,-0.6910806618251826,5.899864196777344,0,0,947.4345703125,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
27,NA,0,3.2228655524502e-4,764359.9127680224,246.34292325338993,81.96678161621094,0.6652684016994114,1.222747802734375,0,-0.00850018858909607,-1.41151598507669,3.5037689208984375,0,0,138.40419006347656,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
28,NA,0,0,647790.353944385,0,82.90849304199219,0.35899851743712763,0.68813323974609375,0,-0.19898992919921454,-2.6227069201046476,3.1302108764648438,0,0,216.15103149414062,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
29,NA,0,3.798787994878146e-6,511481.0602094878,1.9430081111313484,83.526824951171875,0.46098231332563355,0.7382659912109375,0,-0.21382391754039531,-2.78805499044023,3.07568359375,0,0,108.61454010009766,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
30,NA,0,3.745018385539227e-4,821243.054197999,307.5570336967894,84.70196533203125,0.5452194673869402,0.73416900634765625,0,-0.16016098738577966,-0.46020931919409236,2.6701126098632812,0,0,730.84942626953125,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
31,NA,0,0.001126045449444451,534724.8900752366,602.1245291739044,86,0.22967941454306756,0.4390411376953125,0,-0.022648752811576855,-0.0032365210488478624,2.8523330688476562,0,0,923.39764404296875,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
32,NA,0,5.177395951623646e-5,479827.40245269326,24.84256450936664,87,0.12828054294057994,0.399993896484375,0,0.008511760174584992,0.23177385379646864,2.8133392333984375,0,0,1032.333251953125,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
33,NA,0,0,367696.36390494887,0,87.826141357421875,0.2379801659078276,0.45273590087890625,0,0.03837098592913435,0.24715419905690794,2.2371597290039062,0,0,1002.5423583984375,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
34,NA,0,0,233372.72397778404,0,89.01832580566406,0.4601150002834367,0.81157684326171875,0,-0.04340728869937038,-0.011925899314690014,2.8895034790039062,0,0,617.54541015625,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
35,NA,0,0,465927.8257993941,0,90.27525329589844,0.2648306192327378,0.3000030517578125,0,-0.05586283990191987,1.2107113609871902,6.1212615966796875,0,0,321.33160400390625,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
36,NA,0,0,62723.29968772025,0,90.80000305175781,0.055842192803399436,0.29695892333984375,0,0.14334979556527117,2.0749254566959934,7.771156311035156,0,0,220.43165588378906,0.9999999999999998,0.9999999999999998,0.9999999999999998,Very high,5
